date,forecast_price,lower_90,upper_90,commodity,is_forecast
2010-01-01,4.60178192231058,3.714817689134498,5.464952462446934,Wheat,False
2010-02-01,4.904712814656204,3.9607218915392015,5.798877768561711,Wheat,False
2010-03-01,5.013696411778834,4.1564111713225635,5.859623438298376,Wheat,False
2010-04-01,5.136878758248732,4.265958029473,6.0642229529061975,Wheat,False
2010-05-01,5.3434206734503995,4.5240373288859725,6.23773577222469,Wheat,False
2010-06-01,5.321716316132838,4.449981275383866,6.207362280573197,Wheat,False
2010-07-01,5.367481279519212,4.467192570589767,6.290014712215109,Wheat,False
2010-08-01,5.447974677534005,4.597123105487141,6.36215456000201,Wheat,False
2010-09-01,5.570043151811011,4.7196166542676234,6.472442427085372,Wheat,False
2010-10-01,5.831139388775947,4.921311172337833,6.692578137193688,Wheat,False
2010-11-01,5.918649930650146,5.050605815635673,6.782982288920688,Wheat,False
2010-12-01,6.178049398448216,5.314354883290014,7.0735644972604685,Wheat,False
2011-01-01,6.305119542807687,5.377276364360055,7.190100753136103,Wheat,False
2011-02-01,6.369175793259463,5.423801820491148,7.234575263146633,Wheat,False
2011-03-01,6.894582736279641,5.94169029587081,7.811973333984753,Wheat,False
2011-04-01,6.871496931195485,6.05505857135364,7.7365888935275136,Wheat,False
2011-05-01,7.066876183126448,6.135725862131623,7.947993768220808,Wheat,False
2011-06-01,6.867188670160391,6.0201498355790095,7.824096077643474,Wheat,False
2011-07-01,6.822761960099988,5.990530897988019,7.733416142997479,Wheat,False
2011-08-01,6.819752291405634,5.992246986415257,7.714330592869882,Wheat,False
2011-09-01,6.853854070029736,5.959570073941293,7.776952788636552,Wheat,False
2011-10-01,7.168873884183745,6.222984895417267,8.080961148220762,Wheat,False
2011-11-01,7.100999365085849,6.263757317345558,8.00408000402496,Wheat,False
2011-12-01,7.424149318947655,6.58065967049192,8.280733097571328,Wheat,False
2012-01-01,7.352484789999033,6.4480141223455405,8.209920015223194,Wheat,False
2012-02-01,7.03567886234692,6.186659088393119,7.904400108264842,Wheat,False
2012-03-01,7.314841250221486,6.430400487150625,8.207583779347395,Wheat,False
2012-04-01,7.577505002650584,6.7127993480792965,8.37908188770335,Wheat,False
