date,forecast_price,lower_90,upper_90,commodity,is_forecast
2010-01-01,9.145652335809622,7.90318408689186,10.445718398858155,Soybeans,False
2010-02-01,9.78331099506194,8.433610929405551,11.085949756042355,Soybeans,False
2010-03-01,9.94526229196066,8.600484425998225,11.105669433412185,Soybeans,False
2010-04-01,10.185484545164245,8.990938666239764,11.455868327584293,Soybeans,False
2010-05-01,10.394336291152042,9.17409029594444,11.729041465288246,Soybeans,False
2010-06-01,10.572352398742558,9.332268702100333,11.86940097840076,Soybeans,False
2010-07-01,10.71021253966922,9.358332943813508,11.957627091962118,Soybeans,False
2010-08-01,10.623547241571682,9.302955949896909,11.921447225152589,Soybeans,False
2010-09-01,10.200552875503913,8.966361143223615,11.420057624419675,Soybeans,False
2010-10-01,10.138657573796124,8.883361915904441,11.38561076518777,Soybeans,False
2010-11-01,10.436927175838042,9.178035174539776,11.67642319668955,Soybeans,False
2010-12-01,10.740952579876412,9.47186631698197,12.01574734499546,Soybeans,False
2011-01-01,11.013477439477795,9.852860782462557,12.316236342062657,Soybeans,False
2011-02-01,11.30829706473113,10.030502408570243,12.60890750696782,Soybeans,False
2011-03-01,12.31370731431479,11.002485553712818,13.560014772819137,Soybeans,False
2011-04-01,12.387181750032688,11.021271793149005,13.614472448504136,Soybeans,False
2011-05-01,12.452288607265045,11.244689355331166,13.707818943662406,Soybeans,False
2011-06-01,12.534564151582046,11.203016377944232,13.789486134723347,Soybeans,False
2011-07-01,12.67269243697942,11.347336763369183,14.018908333345403,Soybeans,False
2011-08-01,12.579708591499875,11.355557963918654,13.905454558154608,Soybeans,False
2011-09-01,12.056007795852034,10.81313484447422,13.344454701589576,Soybeans,False
2011-10-01,12.054647072841858,10.721710115991543,13.239012249306517,Soybeans,False
2011-11-01,12.42173792834738,11.244776975563974,13.737573438677108,Soybeans,False
2011-12-01,12.797356326283332,11.62157844148232,14.056579021431057,Soybeans,False
2012-01-01,12.845005234948506,11.577733251490026,14.10398908059581,Soybeans,False
2012-02-01,12.659939219271212,11.423422512466598,13.892836946547542,Soybeans,False
2012-03-01,13.240980593140772,11.874289692455518,14.457845010682552,Soybeans,False
2012-04-01,13.891071383165091,12.682396687144996,15.169425799725047,Soybeans,False
2012-05-01,14.460623064475039,13.212380912886964,15.803290209480943,Soybeans,False
2012-06-01,14.87077927854759,13.551444694701368,16.15251105879277,Soybeans,False
2012-07-01,14.92885534792705,13.682410917031664,16.162863471949425,Soybeans,False
2012-08-01,14.587195753578321,13.248429845249733,15.889626792200417,Soybeans,False
2012-09-01,13.874458803668102,12.569394562298276,15.089688980125514,Soybeans,False
2012-10-01,13.451102737664694,12.250783129688042,14.690005505425493,Soybeans,False
2012-11-01,13.629911391608271,12.316182313260118,14.902740693863022,Soybeans,False
2012-12-01,13.657787437431642,12.44588973466394,14.947538018920504,Soybeans,False
2013-01-01,14.272413312560355,12.997753717692468,15.563885671331715,Soybeans,False
2013-02-01,15.509125165093868,14.208591274487675,16.814559672206368,Soybeans,False
2013-03-01,14.421605683458633,13.176011303832425,15.727297764991897,Soybeans,False
2013-04-01,14.678402780357134,13.36510846321343,15.903662251231609,Soybeans,False
2013-05-01,14.864858386759101,13.69569590278427,16.201098291956257,Soybeans,False
2013-06-01,14.817492612493274,13.545766107988682,16.115419616454304,Soybeans,False
2013-07-01,14.606943117854458,13.254151875966352,15.803354149031675,Soybeans,False
2013-08-01,14.047552304809658,12.74191353308481,15.243842202074429,Soybeans,False
2013-09-01,13.114358937001795,11.91110130007853,14.405871534328563,Soybeans,False
2013-10-01,12.586538226812907,11.148734597499693,13.827269061543177,Soybeans,False
2013-11-01,12.56056720934585,11.22064137018488,13.81088291333673,Soybeans,False
2013-12-01,12.530123447964995,11.304252234452889,13.796692627495087,Soybeans,False
2014-01-01,12.730488676581853,11.481824320628213,13.964054843800756,Soybeans,False
2014-02-01,13.20109328283204,12.050949802681808,14.462817095629003,Soybeans,False
2014-03-01,13.04937315485635,11.781942892696444,14.373760065943584,Soybeans,False
2014-04-01,12.958365977410434,11.737840404978025,14.232038191225117,Soybeans,False
2014-05-01,12.836112737725557,11.633351871717421,14.196814823936476,Soybeans,False
2014-06-01,12.66141294148087,11.455175815144086,13.895329099697916,Soybeans,False
2014-07-01,12.452076322145885,11.260260362791131,13.769931994906798,Soybeans,False
2014-08-01,11.979585661654092,10.699989562634189,13.157785278540272,Soybeans,False
2014-09-01,11.15688718736466,9.884713832597054,12.39490628769381,Soybeans,False
2014-10-01,10.766788608341447,9.568188251285429,12.011881499465042,Soybeans,False
2014-11-01,10.750876143009734,9.502735167904799,11.950180552283244,Soybeans,False
2014-12-01,10.742532223045398,9.428630101973082,12.08625460834178,Soybeans,False
2015-01-01,10.68435661793902,9.443552961261355,11.900559854007795,Soybeans,False
2015-02-01,10.640677027051836,9.310092730842205,11.901819227854867,Soybeans,False
2015-03-01,11.271353744883264,9.963870679909714,12.57636548349684,Soybeans,False
2015-04-01,10.99684488927606,9.646512983229718,12.230134405560854,Soybeans,False
2015-05-01,10.796304990052558,9.607641289374788,12.040628466677516,Soybeans,False
2015-06-01,10.60622400104506,9.423693924431456,11.883005074646796,Soybeans,False
2015-07-01,10.474749046481925,9.155195473510947,11.671832346800187,Soybeans,False
2015-08-01,10.149853755436359,8.907161228272265,11.380896471202968,Soybeans,False
2015-09-01,9.49587687257134,8.211465868592105,10.764788805093653,Soybeans,False
2015-10-01,9.276610948770106,8.041415636552122,10.558420592098603,Soybeans,False
2015-11-01,9.404469904291508,8.150032721633119,10.665299994091056,Soybeans,False
2015-12-01,9.53853608685013,8.403898056949657,10.796048926206849,Soybeans,False
2016-01-01,9.422001457559968,8.264661403707334,10.618510439817841,Soybeans,False
2016-02-01,9.14011041829106,7.84187782576469,10.471588052184671,Soybeans,False
2016-03-01,9.420009666518988,8.223526834312906,10.674855329474198,Soybeans,False
2016-04-01,9.732754960377843,8.38787698022656,10.977525924841496,Soybeans,False
2016-05-01,9.984504686159214,8.678917873930715,11.309896235588745,Soybeans,False
2016-06-01,10.114811887679041,8.854638441170883,11.403653282676354,Soybeans,False
2016-07-01,10.05148503531528,8.704505869918007,11.347039441558204,Soybeans,False
2016-08-01,9.71911962484093,8.49172047219665,10.961162058144899,Soybeans,False
2016-09-01,9.148325612237524,7.864045647389461,10.46262558112001,Soybeans,False
2016-10-01,8.780470874431527,7.544140054773583,9.943631311140766,Soybeans,False
2016-11-01,8.805617619801568,7.6074954202935325,10.026880044317915,Soybeans,False
2016-12-01,8.828128192983343,7.587751201598443,10.076749666212713,Soybeans,False
2017-01-01,9.230306461384748,7.884436259153611,10.434711655259948,Soybeans,False
2017-02-01,10.035477110032389,8.797438894989858,11.355305494409087,Soybeans,False
2017-03-01,9.336310497802259,8.090542265829095,10.559777788306395,Soybeans,False
2017-04-01,9.507702053336553,8.255441716302789,10.804706940745476,Soybeans,False
2017-05-01,9.633555653486917,8.326128250216561,10.805672403601294,Soybeans,False
2017-06-01,9.681225709721234,8.411807535150379,10.962769690382423,Soybeans,False
2017-07-01,9.620118984204659,8.333036614544447,10.790411694322955,Soybeans,False
2017-08-01,9.329432186507654,8.107465151031082,10.753379156851205,Soybeans,False
2017-09-01,8.783946826812658,7.495814964624366,9.959004297335882,Soybeans,False
2017-10-01,8.501026093107045,7.2359270854691795,9.713461357734653,Soybeans,False
2017-11-01,8.558032741732704,7.20566902687493,9.731801830474268,Soybeans,False
2017-12-01,8.617874577133655,7.326765105484717,9.908285036982347,Soybeans,False
2018-01-01,8.842487691347369,7.534700663780972,10.12617768645866,Soybeans,False
2018-02-01,9.26179889995899,8.086522353947382,10.533215085819023,Soybeans,False
2018-03-01,9.240016210009514,8.003458258305258,10.61324751885082,Soybeans,False
2018-04-01,9.271096819850161,7.990958321592007,10.514391102925503,Soybeans,False
2018-05-01,9.277734209259387,8.036503784131254,10.557053831972228,Soybeans,False
2018-06-01,9.250054297583679,7.985270431539124,10.596751570901043,Soybeans,False
2018-07-01,9.193603006995968,8.006038306278016,10.437260973705985,Soybeans,False
2018-08-01,8.943420893173036,7.691619112053566,10.162766382890494,Soybeans,False
2018-09-01,8.423838975774059,7.244667468849907,9.679084159815373,Soybeans,False
2018-10-01,8.220263396661656,6.897067566884191,9.4963438036716,Soybeans,False
2018-11-01,8.304782375226612,6.9608157493204,9.562348446353132,Soybeans,False
2018-12-01,8.394656670246235,7.182152006778392,9.702562705454293,Soybeans,False
2019-01-01,8.451245051445303,7.178872149113795,9.736721732168837,Soybeans,False
2019-02-01,8.521568512095918,7.24057986856268,9.832269170660673,Soybeans,False
2019-03-01,9.130073992470425,7.889209363765407,10.426050780660029,Soybeans,False
2019-04-01,9.022934212237978,7.784625363393417,10.333566279895482,Soybeans,False
2019-05-01,8.91746282845673,7.677267831443533,10.17180671522923,Soybeans,False
2019-06-01,8.821666632683641,7.57751643797469,10.089804390732759,Soybeans,False
2019-07-01,8.77203149382466,7.407623329731617,10.011412806927611,Soybeans,False
2019-08-01,8.63558103051324,7.455236573151248,9.984399677981747,Soybeans,False
2019-09-01,8.208815743524239,6.88463475692454,9.623553517173505,Soybeans,False
2019-10-01,8.144475771700453,6.939495777832865,9.466829355538968,Soybeans,False
2019-11-01,8.326681140603563,7.027168176403966,9.573765381575669,Soybeans,False
2019-12-01,8.514496833940866,7.228025129353642,9.738931076472097,Soybeans,False
2020-01-01,8.481487410592637,7.250739177805127,9.681071005175902,Soybeans,False
2020-02-01,8.415904730790722,7.193076340980358,9.630892432288592,Soybeans,False
2020-03-01,8.856240914621695,7.4966930239680885,10.154756004883057,Soybeans,False
2020-04-01,9.350280288247903,8.069495000554035,10.604889719627089,Soybeans,False
2020-05-01,9.791913484465839,8.562118739704335,11.054021533429822,Soybeans,False
2020-06-01,10.130116335636421,8.86645652126575,11.410045294198769,Soybeans,False
2020-07-01,10.270281922323608,9.025423548766362,11.590973349927465,Soybeans,False
2020-08-01,10.271495133941226,9.033705857512281,11.483202717073425,Soybeans,False
2020-09-01,9.991071281063748,8.632125213158265,11.268055541508822,Soybeans,False
2020-10-01,9.891022119409302,8.615111595597861,11.1825803199465,Soybeans,False
2020-11-01,10.233933079880044,8.993043386622208,11.511253303977583,Soybeans,False
2020-12-01,10.567210698445813,9.277968425447487,11.75724261837591,Soybeans,False
2021-01-01,11.382499728172416,10.061682843077483,12.720296405567298,Soybeans,False
2021-02-01,12.740731694060502,11.341070173909976,14.006178534704775,Soybeans,False
2021-03-01,12.161938798930942,10.88325359035684,13.405234127514323,Soybeans,False
2021-04-01,12.735541973078535,11.40821203825174,13.94638849515947,Soybeans,False
2021-05-01,13.24982308176021,11.941556638919813,14.518709038273947,Soybeans,False
2021-06-01,13.676658285668735,12.44521151449176,14.885154186243234,Soybeans,False
2021-07-01,13.9399553610293,12.555868319863059,15.169862537596288,Soybeans,False
2021-08-01,13.871336559032391,12.62202289209915,15.1211171312156,Soybeans,False
2021-09-01,13.39443446963295,12.047598264928885,14.63494372324968,Soybeans,False
2021-10-01,13.27797873858372,11.967978712428298,14.553834611859955,Soybeans,False
2021-11-01,13.696777424188472,12.453280992330443,14.957568230497964,Soybeans,False
2021-12-01,14.11598411460308,12.91897538383213,15.347937454337941,Soybeans,False
2022-01-01,14.440395453762076,13.169612373643963,15.617829345961644,Soybeans,False
2022-02-01,15.079292646896635,13.85613456518774,16.287318234127905,Soybeans,False
2022-03-01,15.00223577290496,13.816601948165278,16.335208809662156,Soybeans,False
2022-04-01,15.006202467071692,13.741811585146243,16.2437656464523,Soybeans,False
2022-05-01,14.971620978581036,13.715796829783846,16.254173348882052,Soybeans,False
2022-06-01,14.879949460948183,13.602695584994182,16.149299510229632,Soybeans,False
2022-07-01,14.743630523144143,13.55113932414112,16.050003231276264,Soybeans,False
2022-08-01,14.296366908663083,13.01926331769698,15.500664816283441,Soybeans,False
2022-09-01,13.422128148306511,12.141256609908174,14.765557524016673,Soybeans,False
2022-10-01,13.05624594339036,11.777853365655353,14.309243077067945,Soybeans,False
2022-11-01,13.146856768150684,11.918149524250122,14.470197617600762,Soybeans,False
2022-12-01,13.246164426451545,12.029419843046053,14.493373453799926,Soybeans,False
2023-01-01,13.290455767858864,11.945351603707826,14.655981609917962,Soybeans,False
2023-02-01,13.355358520789828,12.082806412032232,14.649043546049931,Soybeans,False
2023-03-01,14.264529477696952,12.953665960836677,15.530175433175879,Soybeans,False
2023-04-01,14.048122013375394,12.802288487762024,15.358594285309684,Soybeans,False
2023-05-01,13.83670881097169,12.566861036692059,15.118383497612776,Soybeans,False
