commodity,date,forecast_price,lower_90,upper_90,is_forecast,last_actual_price,pct_change_from_last
Corn,01/01/2010,3.398330353655419,2.5876149056279822,4.242444814860043,False,3.59,-5.34
Corn,02/01/2010,3.728090712012849,2.890402804718846,4.613514740070705,False,3.59,3.85
Corn,03/01/2010,3.856490200194434,2.959281095000446,4.751865095651849,False,3.59,7.42
Corn,04/01/2010,4.037547405722166,3.1683503894010294,4.900887821981891,False,3.59,12.47
Corn,05/01/2010,4.193204788176095,3.2815581882345093,5.073602909782488,False,3.59,16.8
Corn,06/01/2010,4.3321896600764696,3.508013691155471,5.1655043043230675,False,3.59,20.67
Corn,07/01/2010,4.4699882722748425,3.5600976015380748,5.386474626375169,False,3.59,24.51
Corn,08/01/2010,4.486424474989979,3.562043702373915,5.3607836120607395,False,3.59,24.97
Corn,09/01/2010,4.383815809195168,3.5344755184129917,5.224377145538628,False,3.59,22.11
Corn,10/01/2010,4.414134242212135,3.552824717230104,5.242051210342805,False,3.59,22.96
Corn,11/01/2010,4.5545532400795485,3.630996978053491,5.414304815727401,False,3.59,26.87
Corn,12/01/2010,4.804650342073408,3.945316908952099,5.696019034822465,False,3.59,33.83
Corn,01/01/2011,4.999475353415205,4.13815367810483,5.8143938196884415,False,3.59,39.26
Corn,02/01/2011,5.171599807826304,4.295728975560819,6.06785855417653,False,3.59,44.06
Corn,03/01/2011,5.736211324889398,4.907791921019101,6.648411931534076,False,3.59,59.78
Corn,04/01/2011,5.865022614122869,4.942667924428497,6.74518226045514,False,3.59,63.37
Corn,05/01/2011,5.963162969077478,5.1557582280697805,6.802243206718578,False,3.59,66.1
Corn,06/01/2011,6.011534131085897,5.138103434760513,6.917271366211442,False,3.59,67.45
Corn,07/01/2011,6.124200947562812,5.240645135109437,6.969902219633779,False,3.59,70.59
Corn,08/01/2011,6.064047867209615,5.219098931055636,6.931493602694328,False,3.59,68.91
Corn,09/01/2011,5.864403726813803,5.035176723977649,6.730700348005344,False,3.59,63.35
Corn,10/01/2011,5.930418670374431,5.045832232806537,6.770151976987674,False,3.59,65.19
Corn,11/01/2011,6.010132728813816,5.109629693773425,6.855453655931257,False,3.59,67.41
Corn,12/01/2011,6.349284010643147,5.437035915970091,7.18182434822207,False,3.59,76.86
Corn,01/01/2012,6.323779479773453,5.494631898815998,7.240454445211159,False,3.59,76.15
Corn,02/01/2012,6.132354509744602,5.253012490244213,6.979669515687049,False,3.59,70.82
Corn,03/01/2012,6.496775185859293,5.664649098319849,7.405613242227228,False,3.59,80.97
Corn,04/01/2012,6.774662847018925,5.904669651552681,7.692629938586445,False,3.59,88.71
Corn,05/01/2012,7.009249344298379,6.144217439558141,7.8340501907638815,False,3.59,95.24
Corn,06/01/2012,7.27288324492894,6.370457002914242,8.117652562549665,False,3.59,102.59
Corn,07/01/2012,7.2319894882489155,6.38879296533089,8.130009913293675,False,3.59,101.45
Corn,08/01/2012,7.0060551421419,6.124883450230169,7.871119298129115,False,3.59,95.15
Corn,09/01/2012,6.582726653062342,5.712765180177769,7.386584839702481,False,3.59,83.36
Corn,10/01/2012,6.2046870169731605,5.404497260828068,7.118048567271055,False,3.59,72.83
Corn,11/01/2012,6.268897122616098,5.422648365646743,7.1417153288983615,False,3.59,74.62
Corn,12/01/2012,6.153464175218888,5.287004844569376,7.028598490928874,False,3.59,71.41
Corn,01/01/2013,6.444381214445255,5.5622051918834785,7.297279054431083,False,3.59,79.51
Corn,02/01/2013,6.980633495091751,6.098877798295706,7.905141102497543,False,3.59,94.45
Corn,03/01/2013,6.347351669388092,5.504229816229496,7.206366105573289,False,3.59,76.81
Corn,04/01/2013,6.364121162795559,5.44431687094161,7.247685113536352,False,3.59,77.27
